;Party;Seats
0;['GUE/NGL', 'Greens/EFA', 'ID', 'RE', 'ECR', 'NI'];415
1;['Greens/EFA', 'S&D', 'ID', 'RE', 'ECR', 'NI'];528
2;['EPP', 'GUE/NGL', 'S&D', 'RE', 'NI'];542
3;['GUE/NGL', 'Greens/EFA', 'S&D', 'ID', 'RE', 'NI'];507
4;['EPP', 'GUE/NGL', 'S&D', 'RE', 'ECR'];547
5;['Greens/EFA', 'S&D', 'ID', 'ECR', 'NI'];420
6;['EPP', 'Greens/EFA', 'S&D', 'ID'];483
7;['EPP', 'GUE/NGL', 'Greens/EFA', 'ID', 'RE', 'ECR'];540
8;['EPP', 'Greens/EFA', 'ID', 'RE', 'ECR', 'NI'];556
9;['GUE/NGL', 'Greens/EFA', 'EPP', 'S&D', 'ID', 'ECR', 'NI'];643
10;['EPP', 'Greens/EFA', 'ID', 'NI'];386
11;['EPP', 'Greens/EFA', 'S&D', 'ID', 'ECR', 'NI'];602
12;['GUE/NGL', 'Greens/EFA', 'EPP', 'ID', 'RE', 'ECR', 'NI'];597
13;['EPP', 'Greens/EFA', 'ID', 'RE', 'ECR'];499
14;['EPP', 'S&D', 'ID', 'RE', 'NI'];574
15;['Greens/EFA', 'RE', 'S&D', 'NI'];393
16;['GUE/NGL', 'EPP', 'S&D', 'ID', 'RE', 'NI'];615
17;['GUE/NGL', 'Greens/EFA', 'S&D', 'RE', 'ECR'];439
18;['EPP', 'S&D', 'ID', 'RE', 'ECR'];579
19;['GUE/NGL', 'S&D', 'ID', 'RE', 'NI'];433
20;['EPP', 'GUE/NGL', 'Greens/EFA', 'RE', 'NI'];462
21;['EPP', 'GUE/NGL', 'Greens/EFA', 'S&D', 'RE', 'ECR'];621
22;['EPP', 'GUE/NGL', 'Greens/EFA', 'S&D', 'RE'];559
23;['GUE/NGL', 'Greens/EFA', 'EPP', 'S&D', 'RE', 'ECR', 'NI'];678
24;['EPP', 'Greens/EFA', 'S&D', 'RE', 'ECR'];580
25;['EPP', 'GUE/NGL', 'RE', 'NI'];388
26;['EPP', 'RE', 'S&D', 'NI'];501
27;['EPP', 'RE', 'ECR', 'S&D'];506
28;['EPP', 'ECR', 'S&D', 'NI'];455
29;['Greens/EFA', 'S&D', 'ID', 'RE', 'ECR'];471
30;['EPP', 'RE', 'ECR', 'NI'];409
31;['EPP', 'GUE/NGL', 'RE', 'ECR'];393
32;['EPP', 'Greens/EFA', 'S&D', 'ID', 'RE'];591
33;['EPP', 'Greens/EFA', 'S&D', 'ID', 'RE', 'ECR'];653
34;['EPP', 'GUE/NGL', 'Greens/EFA', 'ID', 'NI'];427
35;['EPP', 'GUE/NGL', 'Greens/EFA', 'ID', 'RE'];478
36;['GUE/NGL', 'Greens/EFA', 'EPP', 'S&D', 'ID', 'RE'];632
37;['GUE/NGL', 'S&D', 'RE', 'ECR', 'NI'];422
38;['GUE/NGL', 'Greens/EFA', 'EPP', 'ID', 'RE', 'NI'];535
39;['EPP', 'Greens/EFA', 'S&D', 'ID', 'ECR'];545
40;['EPP', 'GUE/NGL', 'S&D', 'ID'];450
41;['GUE/NGL', 'RE', 'S&D', 'Greens/EFA'];377
42;['EPP', 'GUE/NGL', 'RE', 'ID'];404
43;['ID', 'EPP', 'RE', 'NI'];420
44;['EPP', 'GUE/NGL', 'S&D', 'ID', 'ECR', 'NI'];569
45;['EPP', 'RE', 'ECR', 'ID'];425
46;['Greens/EFA', 'RE', 'ECR', 'S&D'];398
47;['GUE/NGL', 'RE', 'S&D', 'ID'];376
48;['EPP', 'GUE/NGL', 'RE', 'Greens/EFA'];405
49;['EPP', 'GUE/NGL', 'Greens/EFA', 'S&D', 'NI'];508
50;['EPP', 'Greens/EFA', 'ECR', 'S&D'];472
51;['EPP', 'Greens/EFA', 'RE', 'ECR', 'NI'];483
52;['S&D', 'ID', 'RE', 'ECR', 'NI'];454
53;['GUE/NGL', 'Greens/EFA', 'EPP', 'S&D', 'RE', 'NI'];616
54;['GUE/NGL', 'Greens/EFA', 'S&D', 'ID', 'NI'];399
55;['EPP', 'Greens/EFA', 'S&D'];410
56;['EPP', 'GUE/NGL', 'RE', 'S&D'];485
57;['GUE/NGL', 'Greens/EFA', 'S&D', 'ID', 'ECR', 'NI'];461
58;['EPP', 'GUE/NGL', 'S&D', 'ECR', 'NI'];496
59;['EPP', 'S&D', 'ID'];409
60;['EPP', 'Greens/EFA', 'RE', 'ID'];437
61;['Greens/EFA', 'EPP', 'S&D', 'ID', 'RE', 'NI'];648
62;['EPP', 'Greens/EFA', 'ECR', 'ID'];391
63;['GUE/NGL', 'EPP', 'S&D', 'ID', 'RE', 'ECR', 'NI'];677
64;['EPP', 'GUE/NGL', 'S&D', 'ID', 'NI'];507
65;['EPP', 'GUE/NGL', 'S&D', 'ID', 'RE', 'ECR'];620
66;['EPP', 'GUE/NGL', 'ID', 'ECR', 'NI'];415
67;['GUE/NGL', 'Greens/EFA', 'S&D', 'ECR', 'NI'];388
68;['EPP', 'GUE/NGL', 'S&D', 'ID', 'ECR'];512
69;['EPP', 'GUE/NGL', 'Greens/EFA', 'S&D', 'ECR', 'NI'];570
70;['EPP', 'S&D', 'NI'];393
71;['EPP', 'Greens/EFA', 'RE', 'S&D'];518
72;['EPP', 'GUE/NGL', 'S&D'];377
73;['EPP', 'Greens/EFA', 'RE', 'ECR'];426
74;['RE', 'ECR', 'S&D', 'ID'];397
75;['GUE/NGL', 'Greens/EFA', 'S&D', 'ID', 'RE', 'ECR', 'NI'];569
76;['Greens/EFA', 'RE', 'S&D', 'ID'];409
77;['GUE/NGL', 'Greens/EFA', 'S&D', 'ID', 'RE', 'ECR'];512
78;['EPP', 'GUE/NGL', 'S&D', 'NI'];434
79;['EPP', 'GUE/NGL', 'ECR', 'S&D'];439
80;['EPP', 'GUE/NGL', 'RE', 'ECR', 'NI'];450
81;['GUE/NGL', 'Greens/EFA', 'S&D', 'ID', 'ECR'];404
82;['GUE/NGL', 'Greens/EFA', 'EPP', 'S&D', 'ID', 'RE', 'ECR'];694
83;['EPP', 'GUE/NGL', 'Greens/EFA', 'ID', 'ECR', 'NI'];489
84;['Greens/EFA', 'EPP', 'S&D', 'ID', 'RE', 'ECR', 'NI'];710
85;['EPP', 'GUE/NGL', 'Greens/EFA', 'S&D', 'ID'];524
86;['EPP', 'Greens/EFA', 'S&D', 'ID', 'NI'];540
87;['EPP', 'GUE/NGL', 'Greens/EFA', 'S&D', 'ID', 'ECR'];586
88;['EPP', 'Greens/EFA', 'ID', 'RE', 'NI'];494
89;['EPP', 'GUE/NGL', 'Greens/EFA', 'ID', 'ECR'];432
90;['RE', 'ECR', 'S&D', 'NI'];381
91;['EPP', 'ID', 'S&D', 'NI'];466
92;['EPP', 'RE', 'S&D', 'ID'];517
93;['EPP', 'ECR', 'S&D', 'ID'];471
94;['ID', 'RE', 'S&D', 'NI'];392
95;['EPP', 'GUE/NGL', 'Greens/EFA', 'RE', 'ECR', 'NI'];524
96;['GUE/NGL', 'S&D', 'ID', 'RE', 'ECR', 'NI'];495
97;['EPP', 'Greens/EFA', 'S&D', 'RE', 'NI'];575
98;['EPP', 'Greens/EFA', 'S&D', 'ECR', 'NI'];529
99;['EPP', 'GUE/NGL', 'Greens/EFA', 'S&D', 'ECR'];513
100;['EPP', 'GUE/NGL', 'Greens/EFA', 'RE', 'ECR'];467
101;['EPP', 'GUE/NGL', 'Greens/EFA', 'ECR', 'NI'];416
102;['GUE/NGL', 'S&D', 'ID', 'ECR', 'NI'];387
103;['GUE/NGL', 'Greens/EFA', 'S&D', 'ID', 'RE'];450
104;['EPP', 'GUE/NGL', 'S&D', 'RE', 'ECR', 'NI'];604
105;['EPP', 'S&D', 'RE', 'ECR', 'NI'];563
106;['EPP', 'Greens/EFA', 'ID', 'ECR', 'NI'];448
107;['GUE/NGL', 'Greens/EFA', 'EPP', 'S&D', 'ID', 'NI'];581
108;['GUE/NGL', 'Greens/EFA', 'EPP', 'S&D', 'ID', 'RE', 'NI'];689
109;['EPP', 'GUE/NGL', 'S&D', 'ID', 'RE'];558
110;['EPP', 'GUE/NGL', 'ID', 'RE', 'ECR', 'NI'];523
111;['GUE/NGL', 'Greens/EFA', 'S&D', 'RE', 'ECR', 'NI'];496
112;['EPP', 'S&D', 'ID', 'RE', 'ECR', 'NI'];636
113;['GUE/NGL', 'Greens/EFA', 'S&D', 'RE', 'NI'];434
114;['EPP', 'GUE/NGL', 'ID', 'RE', 'NI'];461
115;['EPP', 'GUE/NGL', 'ID', 'RE', 'ECR'];466
116;['EPP', 'ID', 'RE', 'ECR', 'NI'];482
117;['Greens/EFA', 'S&D', 'RE', 'ECR', 'NI'];455
118;['EPP', 'S&D', 'ID', 'ECR', 'NI'];528
119;['EPP', 'Greens/EFA', 'RE', 'NI'];421
120;['EPP', 'Greens/EFA', 'S&D', 'RE', 'ECR', 'NI'];637
121;['EPP', 'Greens/EFA', 'S&D', 'NI'];467
122;['EPP', 'RE', 'S&D'];444
123;['EPP', 'ECR', 'S&D'];398
124;['EPP', 'GUE/NGL', 'S&D', 'Greens/EFA'];451
125;['GUE/NGL', 'S&D', 'ID', 'RE', 'ECR'];438
126;['Greens/EFA', 'S&D', 'ID', 'RE', 'NI'];466
